Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
1,University of Oxford,United Kingdom,"21,750",10.9,42%,49:51:00,98.5,96.6,100,99,98.7,97.5
2,Stanford University,United States,"14,517",6.4,23%,47:53:00,98,99,97.8,99.6,100,87
3,Massachusetts Institute of Technology,United States,"11,085",8,33%,41:59:00,97.9,98.6,96.2,99.7,100,93.8
4,Harvard University,United States,"20,050",9,25%,51:49:00,97.8,97.7,99.9,99.4,84.2,90.8
5,University of Cambridge,United Kingdom,"20,565",11.5,38%,48:52:00,97.5,95.8,100,98,87.9,97.4
6,Princeton University,United States,"7,753",7.3,23%,47:53:00,96.9,96.3,97.9,98.8,95.1,89.1
7,California Institute of Technology,United States,"2,240",6.1,33%,37 : 63,96.5,96.6,98,95.9,100,90.6
8,Imperial College London,United Kingdom,"20,275",11.8,61%,42:58:00,95.1,90.9,95.5,98.6,90.9,98.3
9,"University of California, Berkeley",United States,"39,991",17.9,22%,52:48:00,94.6,87.2,98.8,99,99.4,86.8
10,Yale University,United States,"11,924",5.2,21%,51:49:00,94.2,94,94.9,97.7,86.5,82.4
11,ETH Zurich,Switzerland,"22,619",15.4,43%,33 : 67,93.1,87.6,96.8,95.6,82.9,95.6
12,Tsinghua University,China,"38,518",11.2,10%,n/a,92.4,95.3,98.1,93.2,99.9,51.7
13,The University of Chicago,United States,"15,792",6.2,36%,47:53:00,92.1,89.6,91.2,97.6,93.8,82.3
14,Peking University,China,"33,064",10.9,14%,n/a,91.8,95.6,97.3,87.2,98.8,70.2
15,Johns Hopkins University,United States,"15,772",4.1,28%,56:44:00,91.1,84.4,92.3,97.2,100,84.2
16,University of Pennsylvania,United States,"21,312",6.2,22%,54:46:00,91,87.7,89.7,97.6,97.7,78.8
17,Columbia University,United States,"25,914",5.2,35%,n/a,90.9,88.6,89.7,97.4,75.2,86.9
18,"University of California, Los Angeles",United States,"42,634",9.6,15%,56:44:00,90.1,85.7,91.9,96.4,92.3,74.3
19,National University of Singapore,Singapore,"33,334",20,24%,49:51:00,90,78.8,94,95.4,100,91.1
20,Cornell University,United States,"23,620",10,24%,51:49:00,89.5,85.7,88.7,97.6,69.4,86
21,University of Toronto,Canada,"79,282",25.8,27%,56:44:00,88.6,77.5,94.1,92.8,96.1,90.7
22,UCL,United Kingdom,"41,110",11.3,61%,59:41:00,88.1,78.4,86.4,98.6,75.2,97.9
23,University of Michigan-Ann Arbor,United States,"45,783",8.1,16%,51:49:00,87.4,84.7,87.4,95.5,80.7,69
24,Carnegie Mellon University,United States,"13,562",11.9,44%,44:56:00,86.3,75,84.6,98.9,87.3,85.5
25,University of Washington,United States,"49,486",10.1,16%,56:44:00,85.3,78,83.5,98.2,77.6,73.2
26,Duke University,United States,"15,527",3.9,18%,52:48:00,83.9,79.3,76.1,96.2,100,74.8
27,New York University,United States,"48,461",11.8,42%,58:42:00,83.5,73.2,84,94.9,75.4,80.7
28,Northwestern University,United States,"18,894",13.1,18%,52:48:00,83.2,72.3,78.8,97.8,99.7,75.9
29,The University of Tokyo,Japan,"26,345",10.3,15%,n/a,83.1,93.9,94.2,67.8,100,49.7
30,University of Edinburgh,United Kingdom,"33,940",11.5,46%,61:39:00,82.5,70.7,77.5,96.9,71.1,97
30,Technical University of Munich,Germany,"35,506",44.4,39%,37 : 63,82.5,69.8,85.1,90,100,83.1
32,"Nanyang Technological University, Singapore",Singapore,"25,895",16.7,27%,49:51:00,82.3,66.2,80.9,94.5,99.7,93.3
33,École Polytechnique Fédérale de Lausanne,Switzerland,"12,543",13.5,64%,30 : 70,81.4,74.5,73.2,90.3,99.8,95.8
34,"University of California, San Diego",United States,"40,596",12,19%,45:55:00,81,66,78.4,97.6,100,74.3
35,University of Hong Kong,Hong Kong,"18,103",18.3,43%,55:45:00,80.3,65.6,72.3,96.4,95.2,96.8
36,Georgia Institute of Technology,United States,"32,079",28,29%,34 : 66,80,63.4,78.9,94.1,94.6,84.8
37,University of Melbourne,Australia,"51,307",25.1,47%,58:42:00,79.2,64.8,76.4,90.1,98.3,92.7
38,King’s College London,United Kingdom,"32,835",13.9,53%,63:37:00,79,59.8,75.1,97.7,74.2,97.5
38,LMU Munich,Germany,"34,622",33.5,18%,62:38:00,79,65.3,76.8,92.2,100,76.9
40,Paris Sciences et Lettres – PSL Research University Paris,France,"16,120",15,22%,51:49:00,78.5,75.7,72.8,83.2,99.7,81.6
